empresa_id,tipo,descripcion,categoria,monto,fecha,referencia
a5a30ab0-a142-4185-9901-e2ee45b21103,ingreso,Ventas contado - resumen mensual julio,Ventas contado,4318060,2026-07-31,
a5a30ab0-a142-4185-9901-e2ee45b21103,ingreso,Ventas crédito - resumen mensual julio,Ventas crédito,1290441,2026-07-31,
a5a30ab0-a142-4185-9901-e2ee45b21103,ingreso,Ventas débito - resumen mensual julio,Ventas débito,11810755,2026-07-31,
a5a30ab0-a142-4185-9901-e2ee45b21103,ingreso,Transferencias recibidas - resumen mensual julio,Transferencias recibidas,490600,2026-07-31,
a5a30ab0-a142-4185-9901-e2ee45b21103,ingreso,Otros ingresos - resumen mensual julio,Otros ingresos,455637,2026-07-31,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Compra PROSEGUR ACTIVA,Seguridad,65617,2026-07-30,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,COM.MANTENCION PLAN,Mantención,40412,2026-07-29,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0761111132 Transf a Clinical market,Proveedores,268353,2026-07-28,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,405617,2026-07-28,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,327323,2026-07-28,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PROVEFARMA SPA,Proveedores,794549,2026-07-28,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0765276500 Transf a Droguería Antofagasta ltda,Proveedores,52979,2026-07-24,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0761111132 Transf a Clinical market,Proveedores,336788,2026-07-22,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,391959,2026-07-22,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,342094,2026-07-22,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PROVEFARMA SPA,Proveedores,720060,2026-07-22,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0761601636 Transf a LABORATORIO NATURAL,Proveedores,335994,2026-07-20,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0159124495 Transf a CASANGA OGALDE JONA,Asesoría contable,100000,2026-07-20,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA S.I.I.,Impuestos,2123058,2026-07-20,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0194441835 Transf a Matías Tapia,Remuneraciones,123500,2026-07-20,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0211952598 Transf a Sebastián Enrique Inostroza Valenzuela,Remuneraciones,62000,2026-07-14,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,0761111132 Transf a Clinical market,Proveedores,264669,2026-07-14,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,347686,2026-07-14,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,Transf.Internet a 76.187.287-7,Proveedores,327000,2026-07-14,
a5a30ab0-a142-4185-9901-e2ee45b21103,gasto,PAGO EN LINEA PROVEFARMA SPA,Proveedores,808766,2026-07-14,
